province_en,hr_uid,label_pr_hr,cases_30d_cumul_all_ages,cases_30d_cumul_0to19y,cases_30d_cumul_20to59y,cases_30d_cumul_60to79y,cases_30d_cumul_80plus,cases_30d_7dsmth_all_ages,cases_30d_7dsmth_0to19y,cases_30d_7dsmth_20to59y,cases_30d_7dsmth_60to79y,cases_30d_7dsmth_80plus,cases_30d_7d100ksmth_all_ages,cases_30d_7d100ksmth_0to19y,cases_30d_7d100ksmth_20to59y,cases_30d_7d100ksmth_60to79y,cases_30d_7d100ksmth_80plus,cases_30d_weektrends_all_ages,cases_30d_weektrends_0to19y,cases_30d_weektrends_20to59y,cases_30d_weektrends_60to79y,cases_30d_weektrends_80plus,hosp_30d_cumul_all_ages,hosp_30d_cumul_0to19y,hosp_30d_cumul_20to59y,hosp_30d_cumul_60to79y,hosp_30d_cumul_80plus,hosp_30d_7dsmth_all_ages,hosp_30d_7dsmth_0to19y,hosp_30d_7dsmth_20to59y,hosp_30d_7dsmth_60to79y,hosp_30d_7dsmth_80plus,hosp_30d_7d100ksmth_all_ages,hosp_30d_7d100ksmth_0to19y,hosp_30d_7d100ksmth_20to59y,hosp_30d_7d100ksmth_60to79y,hosp_30d_7d100ksmth_80plus,hosp_30d_weektrends_all_ages,hosp_30d_weektrends_0to19y,hosp_30d_weektrends_20to59y,hosp_30d_weektrends_60to79y,hosp_30d_weektrends_80plus,icu_30d_cumul_all_ages,icu_30d_cumul_0to19y,icu_30d_cumul_20to59y,icu_30d_cumul_60to79y,icu_30d_cumul_80plus,icu_30d_7dsmth_all_ages,icu_30d_7dsmth_0to19y,icu_30d_7dsmth_20to59y,icu_30d_7dsmth_60to79y,icu_30d_7dsmth_80plus,icu_30d_7d100ksmth_all_ages,icu_30d_7d100ksmth_0to19y,icu_30d_7d100ksmth_20to59y,icu_30d_7d100ksmth_60to79y,icu_30d_7d100ksmth_80plus,icu_30d_weektrends_all_ages,icu_30d_weektrends_0to19y,icu_30d_weektrends_20to59y,icu_30d_weektrends_60to79y,icu_30d_weektrends_80plus,cases_90d_cumul_all_ages,cases_90d_cumul_0to19y,cases_90d_cumul_20to59y,cases_90d_cumul_60to79y,cases_90d_cumul_80plus,cases_90d_7dsmth_all_ages,cases_90d_7dsmth_0to19y,cases_90d_7dsmth_20to59y,cases_90d_7dsmth_60to79y,cases_90d_7dsmth_80plus,cases_90d_7d100ksmth_all_ages,cases_90d_7d100ksmth_0to19y,cases_90d_7d100ksmth_20to59y,cases_90d_7d100ksmth_60to79y,cases_90d_7d100ksmth_80plus,cases_90d_weektrends_all_ages,cases_90d_weektrends_0to19y,cases_90d_weektrends_20to59y,cases_90d_weektrends_60to79y,cases_90d_weektrends_80plus,hosp_90d_cumul_all_ages,hosp_90d_cumul_0to19y,hosp_90d_cumul_20to59y,hosp_90d_cumul_60to79y,hosp_90d_cumul_80plus,hosp_90d_7dsmth_all_ages,hosp_90d_7dsmth_0to19y,hosp_90d_7dsmth_20to59y,hosp_90d_7dsmth_60to79y,hosp_90d_7dsmth_80plus,hosp_90d_7d100ksmth_all_ages,hosp_90d_7d100ksmth_0to19y,hosp_90d_7d100ksmth_20to59y,hosp_90d_7d100ksmth_60to79y,hosp_90d_7d100ksmth_80plus,hosp_90d_weektrends_all_ages,hosp_90d_weektrends_0to19y,hosp_90d_weektrends_20to59y,hosp_90d_weektrends_60to79y,hosp_90d_weektrends_80plus,icu_90d_cumul_all_ages,icu_90d_cumul_0to19y,icu_90d_cumul_20to59y,icu_90d_cumul_60to79y,icu_90d_cumul_80plus,icu_90d_7dsmth_all_ages,icu_90d_7dsmth_0to19y,icu_90d_7dsmth_20to59y,icu_90d_7dsmth_60to79y,icu_90d_7dsmth_80plus,icu_90d_7d100ksmth_all_ages,icu_90d_7d100ksmth_0to19y,icu_90d_7d100ksmth_20to59y,icu_90d_7d100ksmth_60to79y,icu_90d_7d100ksmth_80plus,icu_90d_weektrends_all_ages,icu_90d_weektrends_0to19y,icu_90d_weektrends_20to59y,icu_90d_weektrends_60to79y,icu_90d_weektrends_80plus
Saskatchewan,1,Far North (SK),7490.412682,2647.056673,4075.323641,636.5650958,131.4672715,13.27162658,12.79533552,0.456198111,0.017910293,0.002182652,35.09990897,33.84024629,1.206522205,0.047367942,0.005772532,-0.320401418,-0.302373427,-0.598346485,-0.631431607,-0.270738641,368.0800781,61.78797615,150.6736461,81.48006092,74.13839489,0.058940924,0.049563728,0.00291054,0.006074272,0.000392384,0.155883007,0.131082827,0.007697602,0.016064828,0.00103775,-0.326444343,-0.304436125,-0.581818427,-0.309507644,-0.204447155,4.521279145,0,3.87914767,0.637014392,0.005117083,0.018737002,0,0.01756659,0.001114647,5.57654E-05,0.049554369,0,0.04645894,0.002947944,0.000147485,-0.303025796,-1,-0.299492378,-0.357432242,-0.222583826,7702.832837,2855.574637,4079.055253,636.6974878,131.5054589,0.32331002,0.321200531,0.001981344,5.94072E-05,6.87382E-05,0.855068684,0.849489649,0.005240125,0.000157116,0.000181794,-0.388161847,-0.388158196,-0.390700374,-0.371654457,-0.342461744,369.0366393,62.59396157,150.7004178,81.59499217,74.14726781,0.001591572,0.00121411,2.55902E-05,0.000321214,3.06584E-05,0.004209284,0.003210997,6.76793E-05,0.000849525,8.10834E-05,-0.377449517,-0.401172865,-0.340390078,-0.283524825,-0.268898388,4.878929291,0,4.215596917,0.657033491,0.006298883,0.001011051,0,0.000952962,5.44661E-05,3.6228E-06,0.002673959,0,0.002520329,0.000144048,9.58133E-06,-0.282783673,-1,-0.28273189,-0.283856053,-0.280248312
Saskatchewan,4,North (SK),20478.05703,5566.136158,12022.40456,2126.09795,763.4183598,151.9498009,82.8794312,57.32392136,10.50319168,1.24325662,77.42822828,42.23241809,29.21023683,5.352053891,0.63351947,-0.182488444,-0.126737125,-0.239041158,-0.212822308,-0.456357354,715.7358523,128.1215233,430.3684327,95.16587275,62.08002359,3.528232395,1.086694177,1.45033415,0.648960338,0.342243729,1.797862068,0.553740803,0.739038834,0.330687167,0.174395264,-0.19507396,-0.088178845,-0.241273904,-0.169618701,-0.313392786,74.54238007,2.42374E-05,60.97703006,7.80020529,5.765120486,1.175944484,1.962E-10,1.01226003,0.123580983,0.04010347,0.599219594,1E-10,0.515811803,0.062972485,0.020435306,-0.197028867,0,-0.191415332,-0.179020777,-0.353916448,23725.8908,7538.321625,13065.14385,2344.082355,778.3429657,9.178507179,6.129336462,2.406519796,0.612951147,0.029699774,4.677041661,3.12329243,1.22627712,0.312338161,0.015133951,-0.286537639,-0.287587398,-0.282840271,-0.290395424,-0.287567282,793.3238929,156.9869497,456.7608878,111.0634779,68.51257754,0.249563264,0.103742714,0.061663893,0.063477821,0.020678835,0.127168586,0.052863607,0.031421732,0.032346046,0.010537201,-0.272372518,-0.280331329,-0.282720885,-0.251208367,-0.26372876,101.2738178,2.42494E-05,84.08155512,10.73715671,6.455081704,0.095449044,1.962E-10,0.082225153,0.011144071,0.00207982,0.048637447,1E-10,0.041899021,0.005678623,0.001059802,-0.258914331,0,-0.259078602,-0.256272374,-0.266446947
Saskatchewan,7,Central (SK),5443.418946,1286.912391,3314.016821,638.7539198,203.7358144,36.75216343,13.77663693,21.17551814,1.188637557,0.611370809,37.28685696,13.97706808,21.48359286,1.205930602,0.620265415,-0.096115904,-0.11906419,-0.075211715,-0.03892576,-0.310859212,62.24154143,23.24716606,25.78583591,4.914519938,8.294019523,1.215766263,0.510276139,0.521091849,0.073489712,0.110908564,1.233453993,0.517699956,0.52867302,0.074558886,0.112522131,-0.094719832,-0.098460243,-0.068342394,-0.020023302,-0.222562014,6.935372676,0,4.779812297,0.960311654,1.195248724,0.136954606,0,0.109986891,0.012801747,0.014165968,0.138947108,0,0.11158705,0.012987995,0.014372063,-0.052706446,-1,-0.020613514,-0.038219781,-0.252941354,6645.829972,1761.550131,3985.382471,682.2029976,216.6943724,7.547668375,3.346544479,3.831137344,0.296495183,0.07349137,7.65747659,3.395232108,3.886875133,0.30080878,0.074560568,-0.19400993,-0.181126683,-0.205321954,-0.190691351,-0.186610217,103.8717348,42.0669792,42.75754895,7.915251039,11.13195558,0.282679523,0.141322648,0.100077642,0.024096685,0.017182547,0.286792122,0.143378699,0.101533635,0.024447259,0.017432529,-0.185874024,-0.176955891,-0.202792199,-0.168259811,-0.181960119,12.0221027,0,9.034728096,1.449133192,1.538241415,0.037624972,0,0.031941937,0.003649367,0.002033668,0.038172363,0,0.032406648,0.00370246,0.002063255,-0.174687932,-1,-0.173965871,-0.175939971,-0.183670124
Saskatchewan,9,Saskatoon (SK),21855.86718,5069.555658,13697.34843,2291.562187,797.400907,274.1939383,88.34110382,169.0868931,13.77586722,2.990074099,72.07985696,23.22303027,44.44941106,3.621387638,0.786028002,0.067199305,0.033881693,0.08400448,0.105018294,-0.013911458,789.9006901,151.0817634,485.2632034,117.042082,36.51364128,10.03006004,1.101418908,7.868065704,0.844575372,0.21600006,2.636693203,0.289540016,2.068350067,0.222021217,0.056781902,0.080664236,0.030329556,0.089854269,0.097383288,-0.033067187,124.2743046,4.58769E-05,112.1515961,7.022743199,5.099919417,0.63295564,3.804E-10,0.407176951,0.1523983,0.073380389,0.166390812,1E-10,0.107038312,0.040062329,0.019290171,0.089730312,0,0.110416781,0.098112568,-0.026352991,33623.25624,9463.754202,20264.06904,2958.332043,937.1009522,91.62330172,43.29369564,41.59644847,5.514107522,1.219050083,24.08585151,11.38100794,10.93483713,1.449543648,0.320462794,-0.175543604,-0.14726179,-0.203372993,-0.175275613,-0.164949279,1211.133345,205.5419453,798.4889195,160.3933983,46.70908223,3.08776585,0.532987162,2.053456197,0.402579617,0.098742873,0.811709122,0.140111188,0.539810726,0.105829769,0.025957438,-0.184335883,-0.148190366,-0.200559047,-0.1546281,-0.141681289,154.9210007,4.59001E-05,131.6386872,14.73465957,8.547607946,0.268974266,3.804E-10,0.166715953,0.069976981,0.032281332,0.070707714,1E-10,0.04382614,0.018395486,0.008486088,-0.160951294,1.78E-11,-0.164268867,-0.158477368,-0.148926914
Saskatchewan,10,Regina (SK),15760.63689,4253.388835,9458.07545,1661.1081,388.0645018,99.89564891,30.93009647,60.52504007,7.339936835,1.100575546,32.83222264,10.1656461,19.89247392,2.41238175,0.361720873,0.118082976,0.083774185,0.159401696,-0.001499628,-0.120651476,565.0458696,126.5797872,352.9619607,66.92876771,18.575354,1.622471731,0.352002646,0.952243787,0.268798469,0.049426828,0.533249983,0.115691017,0.312969387,0.088344701,0.016244878,0.124235774,0.098892896,0.174669951,0.034950208,-0.058241554,17.76170372,9.80382E-05,16.25349591,1.098862647,0.409247124,0.001919154,3.043E-10,0.001805263,0.000108487,5.40342E-06,0.000630759,1E-10,0.000593327,3.56558E-05,1.77591E-06,-0.283468646,-4.45E-11,-0.283468687,-0.283468745,-0.283464437,21863.79406,6182.213863,13252.93403,1991.615868,437.0302987,74.4959376,25.96948629,43.89287289,4.025571262,0.60800716,24.48422164,8.535266198,14.4260595,1.323065152,0.19983079,-0.107507103,-0.083685397,-0.122644513,-0.092092863,-0.08674615,664.1896597,151.2373308,412.0873808,79.93423782,20.9307102,1.234752046,0.360113934,0.679597252,0.164834094,0.030206765,0.405820018,0.118356915,0.223359961,0.054175229,0.009927912,-0.102897102,-0.074313764,-0.123315721,-0.081825442,-0.074530875,17.7988991,9.80568E-05,16.28848395,1.100965244,0.409351848,0.000105097,3.043E-10,9.88595E-05,5.94094E-06,2.95896E-07,3.45416E-05,1E-10,3.24917E-05,1.95258E-06,9.72508E-08,-0.283467933,4.45E-11,-0.28346857,-0.283467879,-0.283464881
Saskatchewan,11,South (SK),10309.64295,2907.87809,6038.5456,1002.130715,361.0885443,95.33287781,33.21088643,52.71008244,6.119742588,3.292166359,60.65397029,21.12987843,33.53592011,3.893585232,2.094586518,-0.096785164,-0.033967758,-0.111536913,-0.208785733,-0.19856926,138.6441584,39.95701392,61.44337259,16.24696808,20.9968038,3.100246901,1.021002316,1.234231757,0.33863332,0.506379508,1.97248093,0.649595875,0.785259588,0.215449861,0.322175606,-0.107658756,-0.036992369,-0.135662058,-0.161956577,-0.129984409,16.28375815,0,9.990386078,3.232508763,3.060863308,0.403008844,0,0.269469479,0.064914287,0.068625078,0.256407726,0,0.171445509,0.041300644,0.043661573,-0.081244161,-1,-0.034034582,-0.172446582,-0.155292072,13088.30985,4042.7765,7444.83753,1156.416622,444.2791941,13.36801733,6.432732673,5.736463739,0.774985049,0.423835864,8.50518042,4.092720008,3.649730389,0.493071448,0.269658574,-0.23907119,-0.225823507,-0.255836673,-0.229147186,-0.222216421,234.2854766,74.58676629,97.39720486,25.97925722,36.32224826,0.531345672,0.194976895,0.182995888,0.057445178,0.095927711,0.338059915,0.124050832,0.116428114,0.036548546,0.061032423,-0.223990561,-0.226294917,-0.241077616,-0.206127177,-0.195403921,29.37924982,0,19.30479071,5.053262586,5.021196526,0.079413708,0,0.057374709,0.01045867,0.011580329,0.050525661,0,0.036503712,0.006654156,0.007367793,-0.206906045,-1,-0.207229194,-0.209862574,-0.202600952
British Columbia,591,Fraser (BC),104501.9437,18829.71389,70706.59379,11905.43767,3060.198352,370.7302286,116.3910006,238.4657854,14.37081671,1.502625911,19.48559637,6.117515877,12.53377169,0.75533073,0.078978081,0.098138354,0.078841614,0.107170685,0.107689966,0.107351045,4176.75059,113.2852244,1729.33152,1459.10871,875.0251353,7.819757763,0.632935028,4.995353015,1.826534518,0.364935202,0.411006796,0.033267092,0.262555964,0.096002731,0.01918101,0.09358045,0.059674351,0.104357526,0.086510066,0.045972551,1200.826282,9.145467087,506.5423304,572.7864737,112.3520112,2.652529737,0.03992695,1.843079886,0.727883954,0.041638947,0.139417074,0.002098562,0.096872356,0.038257611,0.002188545,0.063331205,0.075794315,0.036769162,0.139260525,0.020332246,128994.1701,27045.05864,85821.44615,12953.81253,3173.852751,348.213877,127.138928,203.1531705,16.09473881,1.827039697,18.30213599,6.682427391,10.67773917,0.845940147,0.096029283,-0.068941783,-0.051528421,-0.080793184,-0.054935067,-0.044606795,4686.667886,155.0056198,2044.649083,1586.394949,900.6182344,7.169702523,0.614419237,4.227286606,1.918242646,0.409754034,0.376839865,0.032293901,0.222186361,0.100822914,0.021536689,-0.069880493,-0.057458659,-0.081177387,-0.054812634,-0.038684958,1358.378288,11.9494384,593.9582429,637.2809767,115.1896298,2.150924975,0.043170348,0.910960054,1.150989821,0.045804753,0.113052707,0.002269035,0.047880099,0.060496073,0.0024075,-0.065127939,-0.052595101,-0.108552605,-0.029476072,-0.032977268
British Columbia,592,Interior (BC),30244.92049,5863.932647,20677.6769,3002.762236,700.5487086,173.5446839,39.91687672,120.7341655,11.12101552,1.772626166,21.55256278,4.957288072,14.99400974,1.381122024,0.220142939,0.143771372,0.095206304,0.174005984,0.031370941,0.067147124,1058.897485,32.61327721,500.9702852,335.9092607,189.4046623,3.427057353,0.214888563,2.068678331,0.812113287,0.331377172,0.42560721,0.026687071,0.25690974,0.100856576,0.041153824,0.114021987,0.098942085,0.17383563,0.023289993,0.020257003,315.7004228,2.494680846,153.8811644,122.0198686,37.30470897,1.388015596,0.017143748,0.991907905,0.263504034,0.115459909,0.172378045,0.002129087,0.12318532,0.03272464,0.014338998,0.111301062,0.140415017,0.162262089,-0.000552127,-0.012228067,44299.83097,9648.102508,29864.32914,3911.905524,875.4938002,203.7879995,68.69517492,117.4068109,14.53240216,3.153611466,25.30848859,8.531272966,14.58078465,1.804783084,0.391647889,-0.090071284,-0.044812364,-0.117996779,-0.069086567,-0.049456256,1329.48951,52.89807331,656.6184601,400.6133386,219.3596379,3.92740174,0.365326776,1.976000669,1.037541461,0.548532834,0.487745119,0.045370034,0.245400075,0.128852564,0.068122446,-0.087581969,-0.046722434,-0.118602743,-0.065077911,-0.036813609,421.9579324,4.11314862,228.7109445,142.0623361,47.07150322,1.509321507,0.029148413,0.970126611,0.32816593,0.181880553,0.18744306,0.00361995,0.120480295,0.040755018,0.022587797,-0.089485209,-0.046722434,-0.112931255,-0.053792716,-0.025427544
British Columbia,593,Island (BC),10476.42466,2103.034428,7055.68517,1080.671895,237.0331682,110.8521487,30.6805719,73.35884323,5.846911267,0.965822288,13.10262623,3.626416546,8.670950585,0.691099756,0.114159343,0.077221132,0.127935342,0.060400048,0.040003986,0.06998044,423.2238406,14.40670777,198.5415117,138.778714,71.49690713,2.783363543,0.193219052,1.80787575,0.591042727,0.191226014,0.328991117,0.022838322,0.21368932,0.069860729,0.022602746,-0.00474163,0.12908299,-0.018788241,-0.017945953,0.05557249,115.6311979,5.344322806,45.68806436,55.0763066,9.522504106,0.686829801,0.017579864,0.493458088,0.142546124,0.033245724,0.081182677,0.002077924,0.058326311,0.016848826,0.003929615,-0.027221393,-0.092984105,-0.011970649,-0.080808098,0.033983967,18339.28485,4662.276948,11926.69727,1438.680612,311.6300224,128.3993901,46.01894537,75.84419029,5.215995742,1.320258738,15.1766947,5.439398764,8.964716416,0.616526097,0.156053419,-0.028881706,-0.012571126,-0.038001697,-0.040913347,-0.01066895,554.8738721,21.79417001,280.4796938,166.5960218,86.0039865,1.520201831,0.036953696,0.906992862,0.318653164,0.257602108,0.179686516,0.004367894,0.107205757,0.037664523,0.030448342,-0.073299528,-0.261505522,-0.081876529,-0.070655736,-0.007887659,146.9906611,6.804348561,68.80421887,59.40160162,11.98049208,0.339316172,0.026167124,0.254555524,0.014673151,0.043920374,0.040106872,0.003092931,0.030088238,0.001734353,0.005191349,-0.084101879,-0.013432033,-0.083381886,-0.338107033,-0.003399975
British Columbia,594,Northern (BC),13058.96887,2657.679655,8803.833623,1288.487443,308.96815,63.88055703,27.00978233,34.38290215,2.202676419,0.285196124,21.43153812,9.061617595,11.53525442,0.738984533,0.095681564,-0.100070536,-0.03720156,-0.142361421,-0.120835856,-0.148479603,422.6177698,20.45113477,205.0937912,139.5882324,57.48461143,0.954624032,0.228822717,0.531664036,0.127201155,0.066936125,0.320270553,0.076768629,0.178370048,0.042675213,0.022456662,-0.108721884,-0.022963358,-0.131298109,-0.134037681,-0.141416959,156.2858512,10.61379338,59.61565911,77.20837036,8.848028352,0.245736827,0.04576495,0.108862516,0.078262177,0.012847183,0.08244321,0.015353862,0.036522712,0.026256484,0.004310152,-0.108005699,-0.026244187,-0.134991886,-0.107558821,-0.140493286,16634.34378,3941.910679,10975.11923,1395.693495,321.6203792,56.84085964,17.16483346,37.80873307,1.683220492,0.18407262,19.06976248,5.758697162,12.68459985,0.564710231,0.061755244,-0.03741008,-0.041688423,-0.036365733,-0.018013112,-0.024651368,476.1807091,31.33020933,238.9971681,145.5972364,60.25609535,0.862307771,0.145484251,0.58778852,0.091705799,0.0373292,0.289299009,0.048809081,0.197199471,0.030766737,0.01252372,-0.036108016,-0.042131496,-0.03738566,-0.020133389,-0.030917217,169.4110397,12.78960831,66.42873661,80.83219506,9.360499677,0.207024385,0.02909685,0.11766578,0.053693584,0.006568171,0.069455421,0.009761816,0.039476153,0.018013871,0.002203581,-0.031903492,-0.042131496,-0.034559264,-0.019968886,-0.034768643
British Columbia,595,Vancouver Coastal (BC),44918.10159,7868.204421,30756.10127,4985.92554,1307.870362,159.5468813,46.26661364,105.0846336,7.082722583,1.112911416,13.08366173,3.794099374,8.617478378,0.580819541,0.091264438,0.082991924,0.139431195,0.063371475,0.022519685,0.151368403,1588.46002,33.02495851,699.8499463,565.0964475,290.4886675,3.41056162,0.204192357,2.438061154,0.55059906,0.217709049,0.279683527,0.01674482,0.199933506,0.045151944,0.017853257,0.088899768,0.138165503,0.09855316,0.018100565,0.13058085,519.0111318,8.875822242,210.3712664,240.3996823,59.36436087,0.946466219,0.054194993,0.639407903,0.217095505,0.035767817,0.077615079,0.004444267,0.052434724,0.017802944,0.002933144,0.017717014,0.113155221,0.027453188,-0.038813088,0.079991738,55367.95053,11649.25378,36947.28842,5371.888679,1399.51965,144.7904909,63.03312992,75.72415785,4.537887471,1.495315662,11.87356211,5.169039615,6.20976893,0.372130023,0.122623546,-0.076123713,-0.041394912,-0.102645462,-0.095167054,-0.044178834,1806.312147,49.60353598,853.067169,595.0913473,308.550095,2.847073201,0.274795557,1.909382113,0.357128798,0.305766734,0.23347459,0.022534644,0.156579116,0.029286391,0.025074439,-0.088971503,-0.042594523,-0.10292578,-0.092062276,-0.033310946,571.0858108,13.18735313,244.1980244,251.4429121,62.25752112,0.640630597,0.071376732,0.38633602,0.132340281,0.050577564,0.052534991,0.005853258,0.031681533,0.010852581,0.004147619,-0.090691245,-0.042600213,-0.108230025,-0.087398612,-0.022352711
Newfoundland Labrador,1011,Eastern (NL),1432.788487,376.6844601,841.0766343,188.9570297,26.07036306,4.221092729,1.297334988,2.663847735,0.204081168,0.055828839,1.328791657,0.408398493,0.838574007,0.064244349,0.017574808,0.090554256,0.158495956,0.060236269,0.085499603,0.111260209,25.99371268,0.017731879,6.326711192,11.63107188,8.018197722,0.038041154,0.000109458,0.003067593,0.011430303,0.0234338,0.01197528,3.44572E-05,0.000965672,0.003598237,0.007376914,0.081111609,0.212894038,-0.117767327,0.083697707,0.112069304,26.19173721,0.006040926,14.32062742,10.46749118,1.397577683,0.175221379,8.25656E-06,0.148808368,0.014541998,0.011862757,0.055159344,2.59915E-06,0.04684458,0.004577792,0.003734372,0.069809519,25990.48749,0.061126873,0.127315037,0.113705441,1811.900439,513.2373111,1059.706656,207.5906558,31.3658163,8.66965921,3.321890626,4.793493814,0.430403701,0.123871068,2.729191602,1.04572461,1.508982388,0.135490235,0.038994368,0.087247503,0.095383514,0.0815389,0.088004006,0.090137371,29.36995648,0.031874437,6.418842126,12.67001194,10.24922798,0.076929021,0.000376672,0.000310879,0.02395934,0.05228213,0.024217104,0.000118576,9.7864E-05,0.007542353,0.016458311,0.085877635,0.109175485,-0.423345859,0.087969091,0.090477902,41.05468739,0.011322848,26.54267433,11.96870546,2.531984754,0.330947988,0.000183341,0.268192395,0.03593901,0.026633243,0.104181773,5.77152E-05,0.084426437,0.011313529,0.008384092,0.083048273,0.144709222,0.081588911,0.087969092,0.090807078
Newfoundland Labrador,1012,Central (NL),250.581114,42.33959688,169.2149736,30.27777806,8.74876546,1.149247586,0.136441962,0.83527843,0.157408719,0.020118475,1.26012608,0.149605774,0.91586543,0.172595387,0.02205949,0.0724066,0.124104901,0.055855111,0.114959871,0.117456869,12.13395484,0.045041957,10.51574507,1.392221239,0.180946576,0.01389686,1.09691E-05,0.006214974,0.004544951,0.003125966,0.015237618,1.20274E-05,0.00681459,0.004983445,0.003427556,0.087042553,0.122949639,0.05495548,0.111170881,0.11926406,7.984734306,0,2.744636526,4.390339927,0.849757853,0.002104378,0,7.14419E-06,0.001786826,0.000310407,0.002307407,0,7.83345E-06,0.001959218,0.000340355,0.079081022,-1,-0.006102963,0.072412455,0.121434776,336.5838578,54.10368508,229.0179196,43.05320308,10.40905008,1.682083865,0.242380359,1.150590108,0.255687127,0.03342627,1.844369979,0.265765024,1.261598127,0.280355617,0.03665121,0.042973945,0.049242646,0.040970723,0.045687564,0.046183475,13.20735722,0.045984579,10.96033831,1.759049192,0.441985136,0.02119609,1.93993E-05,0.008555406,0.00733175,0.005289535,0.023241072,2.12709E-05,0.009380825,0.008039111,0.005799865,0.044033319,0.049083681,0.040886579,0.045533459,0.047052242,8.148445497,0,2.745099129,4.527365534,0.875980834,0.003242819,0,8.60629E-06,0.002699717,0.000534496,0.003555684,0,9.43662E-06,0.002960183,0.000586064,0.044941534,-1,0.038108398,0.044392925,0.047832718
Newfoundland Labrador,1013,Western (NL),279.9036401,78.09770061,154.1294799,39.98090564,7.695553991,0.418358876,0.15983523,0.160981038,0.062669139,0.034873469,0.546103378,0.20864039,0.210136067,0.081804953,0.045521967,-0.059453192,-0.091278341,-0.018562239,-0.101418119,-0.007745793,54.59305592,0.04929745,52.92445347,1.151407375,0.467897625,0.008679303,1.2668E-05,0.001193281,0.001780246,0.005693108,0.0113295,1.65361E-05,0.001557645,0.002323839,0.00743148,-0.031339658,-0.0905542,-0.016519124,-0.099341586,-0.01096951,8.246032307,0,3.643469502,2.770305468,1.832257336,0.001317891,0,1.27907E-05,0.000654031,0.000651069,0.001720305,0,1.66963E-05,0.000853738,0.000849871,-0.076558354,-1,-0.264853089,-0.099364014,-0.047537942,304.4379407,86.04490849,164.9796122,43.41838211,9.995037897,0.402862409,0.122648062,0.184377101,0.057584012,0.038253234,0.525875116,0.160098244,0.24067604,0.0751671,0.049933732,0.003528332,0.004648677,0.001000614,0.011662158,2.10008E-05,55.14270139,0.04992995,53.00499225,1.24960455,0.838174639,0.009178223,9.78825E-06,0.001367284,0.001647431,0.006153719,0.011980763,1.27771E-05,0.00178478,0.002150469,0.008032737,0.002375108,0.004970556,0.001070555,0.011743509,0.000181217,8.321582942,0,3.643774812,2.806379126,1.871429004,0.001241788,0,2.00239E-06,0.000605182,0.000634604,0.001620964,0,2.61381E-06,0.000789973,0.000828378,0.004566788,-1,-0.110904351,0.011741126,-0.001774467
Newfoundland Labrador,1014,Labrador Grenfell (NL),130.7299496,25.58195007,70.58673026,34.55806324,0.003205975,1.010216616,0.307855055,0.599826691,0.102480208,5.46625E-05,2.800789088,0.853517024,1.66299784,0.284122675,0.00015155,-0.245246243,-0.225430695,-0.180122475,-0.510472067,-0.20068321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,152.3476581,32.23847443,84.84235369,35.26245749,0.004372475,0.074409712,0.024672765,0.049694038,3.8974E-05,3.93462E-06,0.206298239,0.06840435,0.137774927,0.000108054,1.09086E-05,-0.271167949,-0.252465111,-0.280040726,-0.352838054,-0.261574417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
Prince Edward Island,1100,Prince Edward Island,411.8841466,118.033336,267.6009521,24.72907237,1.520786165,2.904297418,1.268494576,1.456408942,0.179393901,1.57E-10,1.850495657,0.808231171,0.927962269,0.114302217,1E-10,-0.091182489,-0.104294901,-0.07994583,-0.087200575,6.36636E-05,0.167152077,0.167152077,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0.560139623,0,0.560139623,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,519.5564861,166.9316202,319.5660777,31.53800204,1.520786175,0.918000534,0.460764502,0.396528661,0.060707371,1.57E-10,0.58491117,0.293579681,0.252651316,0.038680173,1E-10,-0.138642236,-0.118985684,-0.161263993,-0.132718727,6.36636E-05,0.167152077,0.167152077,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0.560139623,0,0.560139623,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
